assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,75,None,None,2,232653,None,,0,0,0,0,91.7,230,135,None,,0,3,1.5,None,0,Jacob,0.0,10,0,28.9,288,136,51,False,72.8,313,139,611,,None,45,0,0,None,0,,232653.jpg,1.3,0,0,Ramsey,0.2,False,None,a,2,7,126.0,205,110,28,0,0,0,0,0.0,6.2,Ramsey,0
0,0,0,None,None,0,18892,None,,0,0,0,0,0.0,403,157,None,,0,2,2.7,None,0,Ashley,0.0,0,0,0.0,411,157,52,False,0.0,411,157,0,,None,50,0,0,None,0,,18892.jpg,0.0,0,0,Young,0.9,False,None,a,2,7,0.0,399,156,0,0,0,0,0,0.0,0.0,Young,0
0,0,0,None,None,0,61810,None,,0,0,0,0,0.0,358,131,None,,0,2,0.7,None,0,Pontus,0.0,0,0,0.0,372,131,76,False,0.0,372,131,0,,None,45,0,0,None,0,,61810.jpg,0.0,0,0,Jansson,0.9,False,None,a,3,94,0.0,352,129,0,0,0,0,0,0.0,0.0,Jansson,0
0,0,0,None,None,0,128295,None,,0,0,0,0,0.0,417,174,None,,0,3,0.4,None,0,Christian,0.0,0,0,0.0,420,174,77,False,0.0,420,174,0,,None,50,0,0,None,0,,128295.jpg,0.0,0,0,Nørgaard,0.4,False,None,a,3,94,0.0,413,174,0,0,0,0,0,0.0,0.0,Nørgaard,0
0,0,0,None,None,0,144485,None,,0,0,0,0,0.0,450,57,2,,0,4,1.0,None,0,Ivan,0.0,0,0,0.0,450,57,78,False,0.0,450,57,0,,None,65,0,0,1,0,,144485.jpg,0.0,0,0,Toney,38.5,False,None,a,3,94,0.0,450,57,0,0,0,0,0,0.0,0.0,Toney,0
0,0,0,None,None,0,154138,None,,0,0,0,0,0.0,430,179,None,,0,3,0.8,None,0,Tariqe,0.0,0,0,0.0,431,179,79,False,0.0,431,179,0,,None,55,0,0,None,0,,154138.jpg,0.0,0,0,Fosu-Henry,0.3,False,None,a,3,94,0.0,429,179,0,0,0,0,0,0.0,0.0,Fosu,0
0,0,0,None,None,0,154561,None,,0,0,0,0,0.0,370,33,None,,0,1,0.8,None,0,David,0.0,0,0,0.0,382,45,80,False,0.0,382,45,0,,None,45,0,0,None,0,,154561.jpg,0.0,0,0,Raya Martin,2.6,False,None,a,3,94,0.0,364,29,0,0,0,0,0,0.0,0.0,Raya,0
0,0,0,None,None,0,174932,None,,0,0,0,0,0.0,435,183,None,,0,3,0.8,None,0,Sergi,0.0,0,0,0.0,436,183,81,False,0.0,436,183,0,,None,55,0,0,None,0,,174932.jpg,0.0,0,0,Canós,0.5,False,None,a,3,94,0.0,434,183,0,0,0,0,0,0.0,0.0,Canós,0
0,0,0,None,None,0,183656,None,,0,0,0,0,0.0,436,184,None,,0,3,0.8,None,0,Pelenda Joshua,0.0,0,0,0.0,437,184,82,False,0.0,437,184,0,,None,55,0,0,2,0,,183656.jpg,0.0,0,0,Dasilva,0.3,False,None,a,3,94,0.0,435,184,0,0,0,0,0,0.0,0.0,Dasilva,0
0,0,0,None,None,0,194010,None,,0,0,0,0,0.0,377,142,None,,0,2,0.7,None,0,Rico,0.0,0,0,0.0,388,142,83,False,0.0,388,142,0,,None,45,0,0,None,0,,194010.jpg,0.0,0,0,Henry,1.3,False,None,a,3,94,0.0,373,141,0,0,0,0,0,0.0,0.0,Henry,0
